,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
46634,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46635,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46636,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46637,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46638,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""MEDIUM""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46639,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46640,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46641,"""PAYLOAD""","""""",109.29,87.91,1195.0,1192.0,"""LARGE""","""2020""",7571500.0,0.0001981113385722776,0.0009581824057064668
46642,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46643,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46644,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
