INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AWQ","50945","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","96.28","82.55","746","414","","","0","SMALL","7962","1982","92","AWQ","Y","COSMOS 1408 DEB","1982-092AWQ","50945"
"1982-092AWR","50946","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.66","82.60","566","439","","","0","SMALL","7965","1982","92","AWR","Y","COSMOS 1408 DEB","1982-092AWR","50946"
"1982-092AWS","50947","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.62","82.75","453","450","","","0","SMALL","7964","1982","92","AWS","Y","COSMOS 1408 DEB","1982-092AWS","50947"
"1982-092AWT","50948","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.80","82.41","478","442","","","0","SMALL","7965","1982","92","AWT","Y","COSMOS 1408 DEB","1982-092AWT","50948"
"1982-092AWU","50949","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","96.40","82.97","720","452","","","0","SMALL","7965","1982","92","AWU","Y","COSMOS 1408 DEB","1982-092AWU","50949"
"1982-092AWV","50950","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.35","82.61","629","442","","","0","SMALL","7965","1982","92","AWV","Y","COSMOS 1408 DEB","1982-092AWV","50950"
"1982-092AWW","50951","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.41","82.88","543","437","","","0","SMALL","7965","1982","92","AWW","Y","COSMOS 1408 DEB","1982-092AWW","50951"
"1982-092AWX","50952","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.91","82.51","427","408","","","0","SMALL","7965","1982","92","AWX","Y","COSMOS 1408 DEB","1982-092AWX","50952"
"1982-092AWY","50953","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.30","82.86","393","382","","","0","SMALL","7965","1982","92","AWY","Y","COSMOS 1408 DEB","1982-092AWY","50953"
"1982-092AWZ","50954","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","91.69","82.50","368","347","","","0","SMALL","7965","1982","92","AWZ","Y","COSMOS 1408 DEB","1982-092AWZ","50954"
"1982-092AX","49558","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.99","83.19","577","459","","","0","SMALL","7965","1982","92","AX","Y","COSMOS 1408 DEB","1982-092AX","49558"
"1982-092AXA","50955","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","91.59","82.49","369","336","","","0","SMALL","7965","1982","92","AXA","Y","COSMOS 1408 DEB","1982-092AXA","50955"
"1982-092AXB","50956","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.94","82.56","570","461","","","0","SMALL","7962","1982","92","AXB","Y","COSMOS 1408 DEB","1982-092AXB","50956"
"1982-092AXC","50957","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.70","82.58","471","439","","","0","SMALL","7965","1982","92","AXC","Y","COSMOS 1408 DEB","1982-092AXC","50957"
"1982-092AXD","50958","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","90.59","82.59","313","294","","","0","SMALL","7965","1982","92","AXD","Y","COSMOS 1408 DEB","1982-092AXD","50958"
"1982-092AXE","50959","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.21","82.52","446","417","","","0","SMALL","7965","1982","92","AXE","Y","COSMOS 1408 DEB","1982-092AXE","50959"
"1982-092AXF","50960","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.34","82.52","530","443","","","0","SMALL","7965","1982","92","AXF","Y","COSMOS 1408 DEB","1982-092AXF","50960"
"1982-092AXG","50961","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.76","82.62","491","426","","","0","SMALL","7965","1982","92","AXG","Y","COSMOS 1408 DEB","1982-092AXG","50961"
